State,District,Latitude,Longitude,District code,Population,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Male_Workers,Female_Workers,Non_Workers,Agricultural_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Rural_Households,Urban_Households,Sex Ratio,Literacy rate
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,1614087,1278993,221629,114602,107027,1149901,586665,563236,1233312,460161,2472153,570361,3713941,384579,23813,9340,2069,27650,547454,692971,93.41395602803686,69.45126614823319
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,655528,515129,38237,19557,18680,902794,450976,451818,516188,227057,962433,183025,1571147,94034,19661,1589,913,13809,262410,235981,92.24929048197633,68.63294244282918
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,461288,356737,296246,156874,139372,0,0,0,320120,52019,756211,57293,955096,22143,3705,138202,381,4845,175365,139891,88.46573342709156,72.49745203172775
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,643158,426713,341162,181475,159687,0,0,0,430678,192328,1011439,103788,1611031,15515,873,2401,254,1016,357047,99235,88.5886471467868,65.45775477302693
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,734940,537799,223799,119495,104304,0,0,0,476933,102296,1230504,29288,1588407,161680,9743,34572,640,4883,87700,382981,87.32163004212771,70.32744609287668
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,327471,230107,284357,149111,135246,0,0,0,263498,105585,572928,97997,779243,8360,996,150969,171,1172,203020,55360,90.16694928940568,59.19017930788494
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,638666,472450,197937,104332,93605,0,0,0,432456,112260,969716,27097,1408801,70842,9725,15097,944,7451,141703,381988,85.43535490822711,73.3684972319655
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,670200,444111,408785,217338,191447,0,0,0,488321,203300,1052310,144213,1701061,21650,1945,12270,334,3620,302013,154113,87.205038419343,63.89650737328484
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,399480,276611,170448,90856,79592,0,0,0,250020,76514,631871,44845,945693,8247,734,1042,105,645,211816,78328,86.21846747508583,70.5433506711672
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,502049,330709,282351,150940,131411,0,0,0,368277,155145,810730,102071,1276669,23016,889,29103,172,2594,278335,89665,87.1165179535656,62.41852502563427
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,385782,260747,247513,131486,116027,0,0,0,292696,81203,700405,85651,974520,8232,1769,87558,265,351,231091,75696,88.14331973737441,60.18119638389133
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,564516,413497,339604,179681,159923,0,0,0,411646,104416,989262,133723,1341002,31650,2049,126207,532,1516,292682,135920,88.70519686302826,64.97026553751883
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,370828,276065,215128,113311,101817,0,0,0,268556,68224,627875,85890,805175,15970,1943,140395,214,375,203553,88268,88.78675319388778,67.05951868802836
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,380440,249815,156314,82420,73894,0,0,0,232935,105649,583504,38320,913251,5660,301,1737,75,644,223726,44216,89.47078585885568,68.35085154562255
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,229862,175456,101830,53868,47962,0,0,0,164865,46614,349814,12827,490702,23451,2583,40951,1008,1626,70895,93656,87.29807560756676,72.2114831291322
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,464136,322463,206213,109695,96518,0,0,0,328667,83651,793119,62358,1083936,86622,2261,25064,289,4647,173502,153804,86.35293426522401,65.25426048810515
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,375453,261494,182606,95571,87035,0,0,0,235326,102401,562605,28215,889133,5713,701,1804,202,1525,199449,69305,89.80931198414622,70.74579155244955
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,436025,311557,216889,115573,101316,0,0,0,272646,73321,715237,36568,1043887,8185,732,3916,200,3491,175203,131739,86.67426589196786,70.44658708410448
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,456968,325929,387381,202430,184951,0,0,0,369462,132541,793186,147042,940255,9524,2186,338962,370,2256,245476,93316,89.74848443117457,60.446544867196984
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,186064,137778,111690,56154,55536,135500,67900,67600,158791,135244,225045,9193,479782,32455,1559,2745,1740,57,186395,13836,98.63768559620388,62.3876859058334
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,180555,177536,109256,53727,55529,3044,1531,1513,118724,123207,212837,8824,449412,3711,243,591,95,293,196116,15232,109.50292532362833,78.74146817718045
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,408125,245174,241198,130269,110929,474,259,215,308527,135128,660630,181449,1010014,91269,814,196,74,41,256081,55300,86.05158566357278,59.16036168199332
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,180555,177536,109256,53727,55529,3044,1531,1513,118724,123207,212837,8824,449412,3711,243,591,95,293,196116,15232,109.50292532362833,78.74146817718045
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,408125,245174,241198,130269,110929,474,259,215,308527,135128,660630,181449,1010014,91269,814,196,74,41,256081,55300,86.05158566357278,59.16036168199332
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,606443,546197,319385,159697,159688,84564,41745,42819,403756,271414,834905,54849,1461140,19797,3023,8929,14511,194,588321,39007,101.18479971116095,76.32998361008559
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,36697,24002,14750,7433,7317,48746,23609,25137,33863,22410,27848,2537,64732,448,485,249,18086,29,44514,0,81.88717593893922,72.15677417054005
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,174550,133122,122659,62686,59973,16822,8493,8329,148829,120255,168819,12372,415669,2974,1568,1396,15377,94,167995,20709,94.23336231215514,70.26030878984615
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,393669,330078,293739,147250,146489,12787,6345,6442,297464,275207,427106,15822,981412,9460,876,4081,2628,43,431129,31696,100.73223374459157,72.39084315802424
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,342846,269796,215777,110828,104949,8755,4554,4201,258628,172298,383084,26114,791449,11810,2025,4047,3262,185,279269,95896,91.51419046252227,75.26222036584316
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,205617,157028,160745,83017,77728,11262,5912,5350,169399,110684,249772,10730,476830,33215,577,15501,2645,236,171102,21054,91.77564072402447,68.44230968849968
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,580320,244372,184206,164536,85482,79054,25645,13351,12294,190001,108736,281583,10283,548579,14678,1452,13926,574,591,192787,51509,87.95545968635224,73.85201268265784
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,521173,213281,186434,115491,58601,56890,8601,4445,4156,141612,73734,305827,19604,480138,14275,390,26009,56,70,185091,20126,97.64460051878707,76.69526241766171
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,138620,80463,53408,27209,26199,39216,20377,18839,101144,50768,258024,12199,187621,220614,472,422,21,22,122267,11350,91.88077194920452,53.443220405136415
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,641916,495219,377991,197610,180381,69193,36323,32870,417456,91166,1021336,36873,1289240,107489,12104,114272,470,1987,254566,248043,87.99686909037737,74.32458930245144
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,56301,29935,18,12,6,122336,62652,59684,39839,12034,88929,3763,10341,108239,604,1171,20126,28,40370,7774,81.01433438323585,61.246289115211425
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,228499,160705,141224,74644,66580,53307,27693,25614,161548,38883,416004,21566,540063,64234,1828,9551,24,16,181374,33473,89.02728842196935,63.1378815284661
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,178326,115632,402,397,5,22607,11837,10770,138428,49992,372020,34080,13840,535159,1109,9440,35,6,147520,21703,91.23467911445964,52.451288273499394
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,163333,98391,556,406,150,176101,90274,85827,117677,43716,315442,31583,32604,431279,958,11188,83,10,132139,15269,89.29610677295265,54.88774943114495
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,431746,316838,1068,995,73,8935,5021,3914,333151,74037,829641,10408,42540,1177342,2746,12187,285,74,4518,257721,89.95291219491219,60.52445406761969
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,197543,124811,138569,72093,66476,56309,29142,27167,163845,79827,311313,11396,489044,59771,1962,3418,106,57,148664,34696,86.99963609898109,58.083371622656465
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,759088,514432,299227,154297,144930,255626,129233,126393,507677,177691,1376962,126406,1636460,241451,13730,4174,1890,2045,250312,258452,92.23681426388903,61.75151406418953
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,1042886,303902,206159,340553,172668,167885,45563,23141,22422,251213,146477,645196,188513,903179,116710,6565,888,35,129,200974,14528,95.32077874647663,48.908605542695945
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1492073,489837,303701,190036,98295,91741,180962,91012,89950,383691,167776,940606,209693,1165140,302626,6027,143,188,282,257373,64337,92.52008330086113,53.18359088328788
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,2684487,1014950,707254,437309,226362,210947,233119,117256,115863,658851,185653,1839983,103488,2149480,431762,11243,9727,331,1268,258764,405455,90.93677184776764,64.15393332133849
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,406275,266134,79614,40802,38812,571077,282125,288952,367108,257671,696663,303084,1044726,106865,86404,234,267,162,303697,23281,97.66856041907873,50.88448830898366
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,405161,248315,319946,165313,154633,205874,104499,101375,335451,235980,751353,328673,1104475,194680,17168,123,371,20,272872,19180,93.5097099806166,49.4015651837337
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,783736,469739,325493,166447,159046,238188,120646,117542,623946,412331,1409197,362610,1856202,508586,14645,937,650,1503,452564,46886,94.37865730650553,51.256934238515726
Jharkhand,Godda,24.8189,87.2941735483871,351,1313551,376212,228307,115567,59835,55732,279208,138510,140698,344019,208172,761360,307767,937126,289182,37795,97,128,115,276454,15576,93.75994760497812,46.02173802159185
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,321795,237925,32459,16446,16013,706754,352514,354240,264774,222734,537705,97918,309563,51429,202449,221,531,23,216629,16445,99.30655728144015,54.5954840603855
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,791042,258260,168052,72885,37212,35673,240489,120035,120454,214740,111891,464411,135667,550560,164406,4419,520,118,783,165555,20113,95.401032532174,53.89246083014555
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,209706,140976,154910,78266,76644,331096,166427,164669,180106,133273,413599,142729,473049,69808,47653,120,128,16,146377,14137,96.65806430669848,48.23832358063105
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,149568,110139,15330,7862,7468,262734,130814,131920,121605,99727,240458,80840,112378,95012,16770,51,33,15,96759,14725,98.50921424242034,56.239199636198265
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,900422,206989,145892,28469,14352,14117,379054,186967,192087,234012,170572,495838,150028,410127,322963,75865,356,283,222,200588,16587,98.91751222217067,39.19062395188034
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,621706,402857,536382,277119,259263,181208,92577,88631,473042,240133,1226694,380976,1683169,238295,6164,734,188,284,355529,52375,92.7720505375126,52.81609222066026
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,1085244,826189,152943,78613,74330,1042016,520582,521434,743967,398900,1771386,267360,1612239,410759,193974,4826,932,2733,420740,310242,94.94152596397039,65.58912352496506
